"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"United States","USA","Industry (including construction), value added (constant LCU)","NV.IND.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1988983000000","2055777000000","2171878000000","2301657000000","2265101000000","2251813000000","2372133000000","2557951000000","2767403000000","2990371000000","3107503000000","3083031000000","2794471000000","2899518000000","3034755000000","3117423000000","3241058000000","3377024000000","3349211000000","3327273000000","3530951000000","3784757000000","3847366000000","3654923000000","4143111000000","4702982000000","4919281000000","5056470000000",
"United States","USA","Manufacturing, value added (constant 2015 US$)","NV.IND.MANF.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1235946657713.52","1299239759132.38","1254431894017.13","1095764534600.76","1273467631088.4","1312574915885.89","1155653223377.5","1157138126763.96","1170270467445.17","1350798502082.66","1459225423018.68","1412331449731.23","1623564389028.2","1442015030598.08","1499730690028.78","1682062339023.48","1751121211640.49","1937096306505.37","2071136000000","1894982997779.2","1936183634180.03","2006524594111.21","2263260767914.16","2205559595345.76","2011261798085.57","1823512062588.09","2435980383768.23","2460282095288.06",
"United States","USA","Financial intermediary services indirectly Measured (FISIM) (constant LCU)","NV.FSM.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1119468000000","1124002000000","1162047000000","1204173000000","1223421000000","1271410000000","1323036000000","1383662000000","1405537000000","1459776000000","1475658000000","1562786000000","1607472000000","1636161000000","1669020000000","1706076000000","1736862000000","1777469000000","1834785000000","1889236000000","1930677000000","1987381000000","2046499000000","1918637000000","2037149000000","2162067000000","2263179000000","2363271000000",
"United States","USA","Agriculture, forestry, and fishing, value added (annual % growth)","NV.AGR.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.11168075537644","4.52453348965072","4.08145690131352","1.19693342908916","1.40386205077645","2.76363182306821","3.64990717677429","3.43941186860694","2.64911705732914","1.84693895232979","0.0333354438894418","-2.38706962344108","2.64745442196801","1.55858420775481","2.32595608176294","1.88126723252861","2.39511679863344","2.85463312732634","1.78036283605397","2.44973114804539","2.98419026121259","2.65358578894708","-2.00068644792103","6.28386555961666","2.7923370084342","3.09079678222255","2.89510539757445",
"United States","USA","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34553.1457726208","36096.3704838401","38785.4858955496","43100.3248620345","46882.2331263763","51459.9173116494","56958.300695782","60190.4524930288","63364.1583620103","64801.0351986738","69277.326110927","67765.5024455652","68083.5357182865","65644.8009858229","65387.4791156507","68313.361170322","71796.8258365995","70602.5906607343","66665.749953861","66753.9955297313","67813.6264572699","71324.145840505","73461.3294356","73571.2283714903","79502.8525345255","81231.0471058824","85041.623245786","",
"United States","USA","External balance on goods and services (current LCU)","NE.RSB.GNFS.CN","4204000000","4914000000","4101000000","4939000000","6915000000","5617000000","3863000000","3555000000","1350000000","1431000000","3949000000","621000000","-3373000000","4110000000","-815000000","15976000000","-1631000000","-23094000000","-25367000000","-22545000000","-13056000000","-12519000000","-19974000000","-51642000000","-102727000000","-114018000000","-131869000000","-144770000000","-109392000000","-86742000000","-77855000000","-28613000000","-34738000000","-65174000000","-92487000000","-89762000000","-96377000000","-101971000000","-162711000000","-259550000000","-381073000000","-376747000000","-439745000000","-521955000000","-634141000000","-739902000000","-786453000000","-735933000000","-740871000000","-419153000000","-532308000000","-579616000000","-551617000000","-478453000000","-508900000000","-524320000000","-503272000000","-543329000000","-593077000000","-577290000000","-626202000000","-860029000000","-958935000000","-797342000000","-903051000000",
"United States","USA","Imports of goods and services (annual % growth)","NE.IMP.GNFS.KD.ZG","","","","","","","","","","","","11.8041606886657","19.0465496775849","22.829309043872","39.8271152601498","-3.71474522417904","23.1532632608162","20.7064692416603","16.3377054751349","19.0454652532389","16.2873900757499","8.14422042827781","-4.58650923029502","8.39556177106979","23.2684595208103","2.99229586257439","8.54159226707647","12.3316558724748","8.90089303792105","6.68546353473782","6.54755257770339","-0.982011285038126","7.09605095709213","7.81412149070586","12.979792296407","10.9595979478285","6.80211661387833","9.52398736200337","5.67507818898561","12.2587815685421","17.9426089414116","-4.98414550641257","2.43416913354596","8.30451463516782","16.2726058363788","12.757663062281","10.5384715594943","6.14214248522001","-2.1470477094595","-12.6275316579535","12.9690879148247","4.81609297060947","2.44836967252127","1.21300373107078","5.16097738920591","5.19080367057248","1.45662802715252","4.71007815067222","4.03784432265233","1.17696548350439","-8.9794446214166","14.6709266631681","8.59301212914154","-1.17211634818683","5.30592265425449",
"United States","USA","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","22.5817018592685","22.479885011645","23.0803965716589","23.140103957718","23.1234969557422","23.8745255337027","24.2919004972596","23.2786512192839","22.956778219539","22.888130285429","21.4148288041681","21.9199038502812","22.5807006434161","23.3318085894529","22.6948771164147","20.2774757493602","22.038398387541","23.5262697266726","24.8317846707708","25.1111678649033","23.3103058229305","24.2768333800534","22.0700528651778","22.2529868977705","25.0957929846174","24.1883401602082","23.7406245175648","23.6202310299338","22.827807757869","22.5137993257208","21.5292302181534","20.1106212617501","20.0775666619174","20.3936132939878","21.2790830432828","21.2726622301335","21.7018025987964","22.4097154992473","22.9583362435764","23.4191332062183","23.678356897974","22.17672222144","21.722669407238","21.7456192799689","22.6521453858971","23.375726281304","23.5375300484967","22.5575692188903","21.0374951370568","17.768753245858","18.6722135353972","19.0335321145261","19.9507258841994","20.3792583510987","20.9011935276745","21.4151895660781","20.8879562484549","21.1557690246563","21.5690729259474","21.6698091948266","21.4188185362955","21.3332820408248","21.9497730851586","21.5410327347688","21.7438304547319",
"United States","USA","Gross capital formation (current LCU)","NE.GDI.TOTL.CN","122481000000","126481000000","139574000000","147722000000","158542000000","177508000000","197756000000","200368000000","216170000000","233109000000","229846000000","255334000000","288832000000","332566000000","350691000000","341656000000","412870000000","489776000000","583944000000","659754000000","666047000000","778568000000","737976000000","808682000000","1013271000000","1049527000000","1087233000000","1146813000000","1195364000000","1270134000000","1283819000000","1238438000000","1309123000000","1398708000000","1550657000000","1625178000000","1752013000000","1922205000000","2080672000000","2255537000000","2427257000000","2346725000000","2374094000000","2491276000000","2767457000000","3048007000000","3251847000000","3265034000000","3107209000000","2572572000000","2809976000000","2969180000000","3242785000000","3440158000000","3680311000000","3917913000000","3927962000000","4149091000000","4455419000000","4667673000000","4573797000000","5051971000000","5708454000000","5971327000000","6345913000000",
